President,File,Term,Party,Words
George Washington,GeorgeWashington,1,NA,1431
George Washington,GeorgeWashington,2,NA,135
John Adams,JohnAdams,1,Fedralist,2321
Thomas Jefferson,ThomasJefferson,1,Democratic-Republican Party,1730
Thomas Jefferson,ThomasJefferson,2,Democratic-Republican Party,2166
James Madison,JamesMadison,1,Democratic-Republican Party,1177
James Madison,JamesMadison,2,Democratic-Republican Party,1211
James Monroe,JamesMonroe,1,Democratic-Republican Party,3375
James Monroe,JamesMonroe,2,Democratic-Republican Party,4472
John Quincy Adams,JohnQuincyAdams,1,Democratic-Republican Party,2915
Andrew Jackson,AndrewJackson,1,Democratic,1128
Andrew Jackson,AndrewJackson,2,Democratic,1176
Martin van Buren,MartinvanBuren,1,Democratic,3843
William Henry Harrison,WilliamHenryHarrison,1,Whig,8460
James K. Polk,JamesKPolk,1,Democratic,4809
Zachary Taylor,ZacharyTaylor,1,Whig,1090
Franklin Pierce,FranklinPierce,1,Democratic,3336
James Buchanan,JamesBuchanan,1,Democratic,2831
Abraham Lincoln,AbrahamLincoln,1,Republican,3637
Abraham Lincoln,AbrahamLincoln,2,Republican,700
Ulysses S. Grant,UlyssesSGrant,1,Republican,1127
Ulysses S. Grant,UlyssesSGrant,2,Republican,1339
Rutherford B. Hayes,RutherfordBHayes,1,Republican,2486
James Garfield,JamesGarfield,1,Republican,2979
Grover Cleveland - I,GroverCleveland-I,1,Democratic,1686
Benjamin Harrison,BenjaminHarrison,1,Republican,4392
Grover Cleveland - II,GroverCleveland-II,2,Democratic,2015
William McKinley,WilliamMcKinley,1,Republican,3968
William McKinley,WilliamMcKinley,2,Republican,2218
Theodore Roosevelt,TheodoreRoosevelt,1,Republican,984
William Howard Taft,WilliamHowardTaft,1,Republican,5434
Woodrow Wilson,WoodrowWilson,1,Democratic,1704
Woodrow Wilson,WoodrowWilson,2,Democratic,1526
Warren G. Harding,WarrenGHarding,1,Republican,3329
Calvin Coolidge,CalvinCoolidge,1,Republican,4055
Herbert Hoover,HerbertHoover,1,Republican,3672
Franklin D. Roosevelt,FranklinDRoosevelt,1,Democratic,1880
Franklin D. Roosevelt,FranklinDRoosevelt,2,Democratic,1808
Franklin D. Roosevelt,FranklinDRoosevelt,3,Democratic,1359
Franklin D. Roosevelt,FranklinDRoosevelt,4,Democratic,559
Harry S. Truman,HarrySTruman,1,Democratic,2273
Dwight D. Eisenhower,DwightDEisenhower,1,Republican,2459
Dwight D. Eisenhower,DwightDEisenhower,2,Republican,1658
John F. Kennedy,JohnFKennedy,1,Democratic,1366
Lyndon B. Johnson,LyndonBJohnson,1,Democratic,1507
Richard Nixon,RichardNixon,1,Republican,2128
Richard Nixon,RichardNixon,2,Republican,1803
Jimmy Carter,JimmyCarter,1,Democratic,1229
Ronald Reagan,RonaldReagan,1,Republican,2427
Ronald Reagan,RonaldReagan,2,Republican,2561
George Bush,GeorgeBush,1,Republican,2320
William J. Clinton,WilliamJClinton,1,Democratic,1598
William J. Clinton,WilliamJClinton,2,Democratic,2155
George W. Bush,GeorgeWBush,1,Republican,1592
George W. Bush,GeorgeWBush,2,Republican,2071
Barack Obama,BarackObama,1,Democratic,2395
Barack Obama,BarackObama,2,Democratic,2096
Donald J. Trump,DonaldJTrump,1,Republican,TBD
